id,country,university
1,AD,University of Andorra
2,AE,Abu Dhabi University
3,AE,Ajman University of Science & Technology
4,AE,Alain University of Science and Technology
5,AE,Al Ghurair University
6,AE,Alhosn University
7,AE,Al Khawarizmi International College
8,AE,American College Of Dubai
9,AE,American University in Dubai
10,AE,American University in the Emirates
11,AE,American University of Sharjah
12,AE,British University in Dubai
13,AE,Dubai Medical College for Girls
14,AE,Dubai Pharmacy College
15,AE,Etisalat University College
16,AE,Gulf Medical University
17,AE,Hamdan Bin Mohammed e-University
18,AE,Higher Colleges of Technology
19,AE,Ittihad University
20,AE,Jumeira University
21,AE,Khalifa University
22,AE,"Khalifa University of Science, Technology and Research"
23,AE,Masdar University Of Science And Technology
24,AE,"New York University, Abu Dhabi"
25,AE,Paris-Sorbonne University Abu Dhabi
26,AE,Rak Medical & Health Sciences University
27,AE,"Rochester Institute of Technology, Dubai"
28,AE,"Skyline University College, Sharjah"
29,AE,"Synergy University, Dubai Campus"
30,AE,The Emirates Academy of Hotel Managment
31,AE,The Petroleum Institute
32,AE,United Arab Emirates University
33,AE,University Of Dubai
34,AE,University of Jazeera
35,AE,University of Sharjah
36,AE,University of Wollongong - Dubai Campus
37,AE,Zayed University
38,AF,Afghan University
39,AF,Al-Birony University
40,AF,American University of Afghanistan
41,AF,Aria Institute of Higher Education
42,AF,Badakhshan University
43,AF,Baghlan University
44,AF,Bakhtar University
45,AF,Balkh University
46,AF,Bamiyan University
47,AF,Bost University
48,AF,Dawat University
49,AF,Dunya Institute of Higher Education
50,AF,Faryab Higher Education Institute
51,AF,Ghazni University
52,AF,Herat University
53,AF,Ibn Sina University
54,AF,Jawzjan University
55,AF,Kaboora Institute of Higher Education
56,AF,Kabul Education University
57,AF,Kabul Health Sciences Institute
58,AF,Kabul Medical University
59,AF,Kabul University
60,AF,Kandahar University
61,AF,Kardan University
62,AF,Karwan Institute of Higher Education
63,AF,Kateb Institute of Higher Education
64,AF,Khana-e-Noor Institute of Higher Education
65,AF,Khurasan University
66,AF,Maryam Institute of Higher Education
67,AF,Nangarhar University
68,AF,National Military Academy of Afghanistan
69,AF,Paktia University
70,AF,Pamir University
71,AF,Parwan University
72,AF,Polytechnical University of Kabul
73,AF,Rana Institute of Higher Education
74,AF,Sadat Institute of Higher Education
75,AF,Salam University
76,AF,Shaikh Zayed University
77,AF,Taj Institute of Higher Education
78,AF,Takhar University
79,AG,American University of Antigua
80,AG,University of Health Sciences Antigua
81,AL,Academy of Arts
82,AL,Academy of Sports and Physical Training
83,AL,Agricultural University of Tirane
84,AL,American University of Tirana
85,AL,Beder University
86,AL,Epoka University
87,AL,Polytechnic University of Tirane
88,AL,"University of Elbasan ""Aleksander Xhuvani"""
89,AL,"University of Gjirokstra ""Eqerem Cabej"""
90,AL,"University of Korca ""Fan Noli"""
91,AL,University of New York Tirana
92,AL,"University of Shkodra ""Luigj Gurakuqi"""
93,AL,University of Tirana
94,AL,"University of Vlora ""Ismail Qemali"""
95,AL,University “Pavaresia” Vlore
96,AM,American University of Armenia
97,AM,Armenian State Agrarian University
98,AM,Armenian State University of Economics
99,AM,Eurasia International University
100,AM,European Regional Educational Academy of Armenia
101,AM,French University in Armenia (UFAR)
102,AM,Mehrabyan Medical Institute and Medical College
103,AM,Russian-Armenian (Slavonic) State University
104,AM,State Engineering University of Armenia
105,AM,Yerevan Haibusak University
106,AM,Yerevan State Medical University
107,AM,Yerevan State University
108,AN,"American University of the Caribbean, Sint Maarten"
109,AN,International University School of Medicine (IUSOM)
110,AN,"St.James's School of Medicine, Bonaire"
111,AN,University of Sint Eustatius School of Medicine
112,AN,"University of the Netherlands Antilles, Curacao"
113,AO,Universidade Católica de Angola
114,AO,Universidade Gregorio Semedo
115,AO,Universidade Independente de Angola
116,AO,Universidade Lusíada de Angola
117,AO,Universidade Metodista de Angola
118,AO,Universidade Metropolitana de Angola
119,AO,Universidade Tecnica de Angola
120,AO,Univesidade Agostinho Neto
121,AR,Instituto de Enseñanza Superior del Ejército
122,AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano"""
123,AR,Instituto Tecnológico de Buenos Aires
124,AR,Instituto Universitario Aeronáutico
125,AR,Instituto Universitario CEMA
126,AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló
127,AR,Instituto Universitario de Estudios Navales y Marítimos
128,AR,Instituto Universitario de la Policia Federal
129,AR,Instituto Universitario Nacional del Arte
130,AR,Universidad Abierta Interamericana
131,AR,Universidad Adventista del Plata
132,AR,Universidad Argentina de la Empresa
133,AR,"Universidad Argentina ""John F. Kennedy"""
134,AR,Universidad Atlantida Argentina
135,AR,Universidad Austral Buenos Aires
136,AR,Universidad Autónoma de Entre Ríos
137,AR,Universidad Blas Pascal
138,AR,"Universidad CAECE, Buenos Aires"
139,AR,Universidad Católica Argentina Santa Maria de los Buenos Aires
140,AR,Universidad Católica de Córdoba
141,AR,Universidad Católica de Cuyo
142,AR,Universidad Católica de La Plata
143,AR,Universidad Católica de Salta
144,AR,Universidad Católica de Santa Fé
145,AR,Universidad Católica de Santiago del Estero
146,AR,Universidad Champagnat
147,AR,Universidad de Belgrano
148,AR,Universidad de Bologna - Representación en Buenos Aires
149,AR,Universidad de Buenos Aires
150,AR,Universidad de Ciencias Empresariales y Sociales
151,AR,Universidad de Concepción del Uruguay
152,AR,Universidad de Congreso
153,AR,Universidad de Flores - Buenos Aires
154,AR,Universidad del Aconcagua
155,AR,Universidad de la Cuenca del Plata
156,AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA)
157,AR,Universidad de la Marina Mercante
158,AR,Universidad del Centro Educativo Latinoamericano Rosario
159,AR,Universidad del Cine - Buenos Aires
160,AR,Universidad del Museo Social Argentino
161,AR,"Universidad del Norte ""Santo Tomás de Aquino"""
162,AR,Universidad del Salvador
163,AR,Universidad de Mendoza
164,AR,Universidad de Morón
165,AR,Universidad de Palermo
166,AR,Universidad de San Andres
167,AR,Universidad Empresarial Siglio 21
168,AR,Universidad ISALUD
169,AR,"Universidad ""Juan Agustín Maza"""
170,AR,Universidad Maimónides
171,AR,Universidad Nacional de Catamarca
172,AR,Universidad Nacional de Córdoba
173,AR,Universidad Nacional de Cuyo
174,AR,Universidad Nacional de Entre Ríos
175,AR,Universidad Nacional de Formosa
176,AR,Universidad Nacional de General San Martín
177,AR,Universidad Nacional de General Sarmiento
178,AR,Universidad Nacional de Jujuy
179,AR,Universidad Nacional de La Matanza
180,AR,Universidad Nacional de Lanus
181,AR,Universidad Nacional de La Pampa
182,AR,Universidad Nacional de la Patagonia Austral
183,AR,"Universidad Nacional de la Patagonia ""San Juan Bosco"""
184,AR,Universidad Nacional de La Plata
185,AR,Universidad Nacional de La Rioja
